eval_score,stoc_pol_max,time_VF,VF_error_after,surr_improvement,running_score,stoc_pol_std,time_sampling,stoc_pol_mean,stoc_pol_min,time_opt,kl_dist,VF_error_before
-7.242189430009726,31.843343622843225,0.0029959678649902344,0.8086605206031001,-0.03683693,-0.9440046290255962,22.766143213882227,0.8390200138092041,-0.9440046290255962,-43.435480510649285,134.0685260295868,13.705469,1.0
-12.678413514830202,24.75351286213173,0.0019228458404541016,0.5927913126437089,0.024485648,-3.034363583539243,25.03814736312988,0.8286168575286865,-21.847594174162065,-57.62807297624935,136.88876104354858,0.15699269,0.7473235624368858
-11.831510677706582,5.447854737249452,0.001912832260131836,0.3928036198372727,0.018216375,-5.581002442367361,15.002285004432654,0.8447461128234863,-28.500752171820423,-45.3949101162836,134.77561593055725,0.14732909,0.5682362931555441
-8.084860470309467,16.03979976476007,0.0019321441650390625,0.6848543305597213,0.014786007,-6.707203822752408,25.120534120802155,0.7422201633453369,-16.843016246217836,-50.18293065811158,135.0038299560547,0.15249075,0.9227620235876338
-7.636103740228564,15.593495873681615,0.0018918514251708984,0.5474796828950798,0.013464878,-8.02452586077669,17.556635483088034,0.8388519287109375,-19.88042420299523,-40.92357433582473,133.41747283935547,0.17200801,0.5992273918022172
-10.566945055109455,14.744633758017839,0.002875804901123047,0.5817828279883449,0.01136988,-9.086308250156227,19.647399812407222,0.8317039012908936,-18.642349754572056,-52.42510723972739,135.47616004943848,0.17330736,0.6299521855403276
-8.230981732309287,19.31406247715012,0.0020771026611328125,0.45002152289357644,0.0144706415,-10.219614554038792,20.29357886282074,0.8612139225006104,-20.419371288981875,-49.405657831507725,1413.2400178909302,0.15734817,0.5500916729880491
-7.981073254305001,13.710795943062788,0.002138853073120117,0.599116122869418,0.014054338,-10.945375042388186,19.68294165060329,0.8326420783996582,-17.477219437532735,-42.67644086407069,138.12161302566528,0.17890511,0.7588662539766989
-18.082116861579962,8.339702886245227,0.001847982406616211,0.4838623053158784,0.01601634,-12.101522023312176,18.268797921747957,0.8318881988525391,-22.506844851628085,-48.27872680079613,134.9468550682068,0.12730318,0.5092844502108665
-13.478676785306895,23.4324832722221,0.0018799304962158203,0.6449591852641761,0.013491149,-11.70126858618184,21.586640121081007,0.8440690040588379,-8.0989876520088,-46.94123154356959,133.64503693580627,0.16955502,0.9492948485293125
-16.410005999808416,26.35790116216027,0.002171039581298828,0.7160328978706845,0.018763773,-11.627473821609403,24.05649184449246,0.8404541015625,-10.963320940457484,-47.26579420506281,135.38643097877502,0.17600945,0.8372938865798423
